Oxymax Drinking Events CSV File 

CSV FILE CREATION:3/16/2022 6:11:24 AM
DATA FILENAME:C:\Users\jonbr\Documents\Brestoff Lab\2022-03-15 B6 Fed Fasting 30c D2.BDTA

GROUP/CAGE:0114
SUBJECT ID:F8-3
SUBJECT MASS:19.9 grams



:DATA
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
COUNT,INTERVAL,CHANNEL,DATE,START,END,DURATION,VALUE,ACCUM,UNITS,
#,#,#,,,,seconds,,,,
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
 1 , 1 ,011402,3/15/2022,3/15/2022 6:58:02 AM ,3/15/2022 6:59:06 AM , 64 ,1.40,1.40,g,
 2 , 8 ,011402,3/15/2022,3/15/2022 7:36:03 AM ,3/15/2022 7:36:55 AM , 52 ,0.05,1.45,g,
 3 , 17 ,011402,3/15/2022,3/15/2022 8:27:28 AM ,3/15/2022 8:28:12 AM , 44 ,0.05,1.50,g,
 4 , 40 ,011402,3/15/2022,3/15/2022 10:40:31 AM ,3/15/2022 10:40:48 AM , 17 ,0.62,2.12,g,
 5 , 62 ,011402,3/15/2022,3/15/2022 12:41:36 PM ,3/15/2022 12:41:54 PM , 18 ,0.20,2.32,g,
 6 , 74 ,011402,3/15/2022,3/15/2022 1:51:49 PM ,3/15/2022 1:52:03 PM , 14 ,0.34,2.66,g,
 7 , 105 ,011402,3/15/2022,3/15/2022 4:45:56 PM ,3/15/2022 4:46:33 PM , 37 ,0.07,2.73,g,
 8 , 107 ,011402,3/15/2022,3/15/2022 4:57:11 PM ,3/15/2022 4:58:01 PM , 50 ,0.34,3.07,g,
 9 , 139 ,011402,3/15/2022,3/15/2022 7:58:01 PM ,3/15/2022 7:58:51 PM , 50 ,0.30,3.36,g,
 10 , 171 ,011402,3/15/2022,3/15/2022 11:00:40 PM ,3/15/2022 11:01:24 PM , 44 ,0.16,3.52,g,
