Oxymax Drinking Events CSV File 

CSV FILE CREATION:3/16/2022 6:11:19 AM
DATA FILENAME:C:\Users\jonbr\Documents\Brestoff Lab\2022-03-15 B6 Fed Fasting 30c D2.BDTA

GROUP/CAGE:0107
SUBJECT ID:16-4
SUBJECT MASS:31.7 grams



:DATA
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
COUNT,INTERVAL,CHANNEL,DATE,START,END,DURATION,VALUE,ACCUM,UNITS,
#,#,#,,,,seconds,,,,
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
 1 , 2 ,010702,3/15/2022,3/15/2022 7:01:54 AM ,3/15/2022 7:02:12 AM , 18 ,0.24,0.24,g,
 2 , 2 ,010702,3/15/2022,3/15/2022 7:02:58 AM ,3/15/2022 7:03:32 AM , 34 ,0.50,0.74,g,
 3 , 2 ,010702,3/15/2022,3/15/2022 7:04:42 AM ,3/15/2022 7:04:56 AM , 14 ,0.48,1.22,g,
 4 , 3 ,010702,3/15/2022,3/15/2022 7:11:03 AM ,3/15/2022 7:11:13 AM , 10 ,0.17,1.39,g,
 5 , 4 ,010702,3/15/2022,3/15/2022 7:17:07 AM ,3/15/2022 7:17:37 AM , 30 ,0.41,1.80,g,
 6 , 18 ,010702,3/15/2022,3/15/2022 8:31:53 AM ,3/15/2022 8:33:14 AM , 81 ,1.15,2.95,g,
 7 , 96 ,010702,3/15/2022,3/15/2022 3:54:48 PM ,3/15/2022 3:55:48 PM , 60 ,0.28,3.23,g,
 8 , 128 ,010702,3/15/2022,3/15/2022 6:58:15 PM ,3/15/2022 6:59:01 PM , 46 ,0.05,3.28,g,
 9 , 134 ,010702,3/15/2022,3/15/2022 7:28:13 PM ,3/15/2022 7:30:33 PM , 140 ,0.99,4.27,g,
 10 , 147 ,010702,3/15/2022,3/15/2022 8:42:04 PM ,3/15/2022 8:43:02 PM , 58 ,0.30,4.57,g,
 11 , 147 ,010702,3/15/2022,3/15/2022 8:43:35 PM ,3/15/2022 8:44:03 PM , 28 ,0.12,4.69,g,
 12 , 173 ,010702,3/15/2022,3/15/2022 11:10:28 PM ,3/15/2022 11:12:19 PM , 111 ,0.12,4.82,g,
 13 , 199 ,010702,3/16/2022,3/16/2022 1:39:38 AM ,3/16/2022 1:41:20 AM , 102 ,0.23,5.05,g,
 14 , 211 ,010702,3/16/2022,3/16/2022 2:48:53 AM ,3/16/2022 2:49:35 AM , 42 ,0.03,5.08,g,
 15 , 215 ,010702,3/16/2022,3/16/2022 3:07:07 AM ,3/16/2022 3:09:11 AM , 124 ,0.84,5.92,g,
